"language","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"c",120,1207629.933,1344471.131,1380547.615,1384991.912,80859.862,1416632.812,1627769
"cpp",120,1221452.652,1352531.177,1394544.468,1391022.515,77406.407,1423628,1627892.5
"go",120,1202965.281,1381928.595,1416663.263,1417685.865,91206.015,1448468.512,1779249.833
"rust",120,1231036.412,1332568.833,1377633.333,1379556.52,83234.511,1409735.393,1732974.833
