"browser","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"chrome",240,2176.915,6178.873,15890.465,29986.763,42696.906,42864.876,438973.197
"firefox",240,2629.11,5359.545,8067.819,36349.77,76737.499,22546.413,585936.997
