datetime,cpu,mem
Sat Oct 29 00:55:08 GMT 2022,39,1262540
Sat Oct 29 00:55:10 GMT 2022,0.6,1260238
Sat Oct 29 00:55:11 GMT 2022,0.6,1261387
Sat Oct 29 00:55:12 GMT 2022,0.6,1260691
Sat Oct 29 00:55:14 GMT 2022,0.6,1267585
Sat Oct 29 00:55:15 GMT 2022,1.4,1264452
Sat Oct 29 00:55:17 GMT 2022,1.4,1263726
Sat Oct 29 00:55:20 GMT 2022,1.4,1280403
Sat Oct 29 00:55:22 GMT 2022,1.1,1276016
Sat Oct 29 00:55:24 GMT 2022,1.1,1276181
Sat Oct 29 00:55:26 GMT 2022,1.1,1276461
Sat Oct 29 00:55:28 GMT 2022,41,1275318
Sat Oct 29 00:55:31 GMT 2022,41,1275818
Sat Oct 29 00:55:33 GMT 2022,41,1277218
Sat Oct 29 00:55:35 GMT 2022,38,1275938
Sat Oct 29 00:55:38 GMT 2022,38,1276069
Sat Oct 29 00:55:39 GMT 2022,38,1281115
