datetime,cpu,mem
Wed Oct 26 20:07:55 GMT 2022,46,1483477
Wed Oct 26 20:07:56 GMT 2022,0,1500243
Wed Oct 26 20:07:58 GMT 2022,0,1568650
Wed Oct 26 20:08:00 GMT 2022,0,1540153
Wed Oct 26 20:08:02 GMT 2022,-6.5,1442296
Wed Oct 26 20:08:03 GMT 2022,-6.5,1442936
Wed Oct 26 20:08:05 GMT 2022,-6.5,1438901
Wed Oct 26 20:08:06 GMT 2022,-6.5,1421840
Wed Oct 26 20:08:08 GMT 2022,0,1422260
Wed Oct 26 20:08:10 GMT 2022,0,1422336
Wed Oct 26 20:08:12 GMT 2022,0,1422838
Wed Oct 26 20:08:13 GMT 2022,38,1421308
Wed Oct 26 20:08:15 GMT 2022,38,1421356
Wed Oct 26 20:08:17 GMT 2022,38,1422462
Wed Oct 26 20:08:19 GMT 2022,38,1421068
Wed Oct 26 20:08:21 GMT 2022,38,1421574
Wed Oct 26 20:08:23 GMT 2022,38,1423196
Wed Oct 26 20:08:25 GMT 2022,38,1421678
Wed Oct 26 20:08:27 GMT 2022,38,1422850
Wed Oct 26 20:08:28 GMT 2022,38,1427332
Wed Oct 26 20:08:31 GMT 2022,0,1483918
Wed Oct 26 20:08:33 GMT 2022,0,1482014
Wed Oct 26 20:08:35 GMT 2022,0,1483596
Wed Oct 26 20:08:37 GMT 2022,0,1449458
Wed Oct 26 20:08:39 GMT 2022,0,1459062
Wed Oct 26 20:08:41 GMT 2022,0,1469384
Wed Oct 26 20:08:43 GMT 2022,30,1434850
Wed Oct 26 20:08:45 GMT 2022,30,1434794
Wed Oct 26 20:08:47 GMT 2022,30,1436208
Wed Oct 26 20:08:49 GMT 2022,16,1434734
Wed Oct 26 20:08:51 GMT 2022,16,1440894
Wed Oct 26 20:08:53 GMT 2022,16,1455444
Wed Oct 26 20:08:54 GMT 2022,16,1485584
Wed Oct 26 20:08:56 GMT 2022,29,1485898
Wed Oct 26 20:08:59 GMT 2022,29,1497373
Wed Oct 26 20:09:01 GMT 2022,29,1498970
Wed Oct 26 20:09:03 GMT 2022,34,1459596
Wed Oct 26 20:09:05 GMT 2022,34,1459372
