"browser","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"chrome",239,3.433,15.975,27.669,27.192,14.511,36.321,77.25
"firefox",237,2.5,13.031,20.212,21.319,12.206,27.935,62.143
