Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
12420,2622712,12330,1978598,619666,12337,32
12522,2622608,12422,2205103,846171,12425,30
12622,2622784,12534,1880685,521753,12543,33
12721,2622588,12632,2315162,956230,12637,34
12822,2622196,12724,2444654,1085722,12727,38
12923,2622000,12825,2346987,988055,12827,36
13023,2622248,12925,2558995,1200063,12928,37
13123,2622496,13025,2408423,1049491,13030,30
13224,2620928,13126,1768021,409089,13129,25
13325,2621184,13227,2518324,1159392,13230,39
13425,2621000,13327,2418737,1059805,13330,36
13525,2621104,13427,2407937,1049005,13430,36
13625,2621216,13528,2537691,1178759,13530,33
13726,2621268,13628,2487294,1128362,13630,32
13826,2621072,13729,2099020,740088,13731,30
13927,2621176,13829,2064639,705707,13831,30
14028,2621196,13929,2035958,677026,13932,32
14128,2621000,14031,2011511,652579,14034,31
14228,2621108,14131,1573419,214487,14134,28
14329,2621520,14230,2242634,883702,14233,31
14429,2621324,14336,1754020,395088,14342,31
14531,2621136,14431,2258231,899299,14434,32
14630,2621136,14540,2071809,712877,14546,34
14731,2621136,14638,2187618,828686,14645,33
14832,2621416,14739,2420500,1061568,14745,33
14933,2621416,14840,2364314,1005382,14846,34
15034,2621416,14940,2156381,797449,14946,29
15133,2621416,15042,2272572,913640,15047,36
15318,2621220,15136,2392994,1034062,15141,35
15368,2621436,15331,2196464,837532,15337,30
15418,2621436,15377,2434840,1075908,15384,35
15519,2621828,15426,2889113,1530181,15434,37
15621,2621828,15528,2136340,777408,15535,38
15722,2622076,15633,1742488,383556,15646,34
15821,2622004,15733,2381002,1022070,15748,40
15922,2619932,15828,2576479,1217547,15836,33
16020,2619932,15931,2246862,887930,15937,31
16121,2619984,16023,2479242,1120310,16026,32
16223,2620088,16123,2234958,876026,16126,34
16322,2619892,16231,2321293,962361,16236,36
16423,2619944,16329,2589938,1231006,16335,33
16523,2620156,16429,2423143,1064211,16435,37
16624,2620156,16530,2258231,899299,16536,36
16723,2620404,16632,2274835,915903,16637,33
16825,2620736,16729,2296051,937119,16734,30
16924,2620540,16833,2462051,1103119,16837,36
17025,2620540,16927,2064639,705707,16930,35
17125,2620592,17027,2517943,1159011,17030,30
17226,2620840,17128,2119062,760130,17131,32
17326,2621088,17229,2891082,1532150,17232,40
17426,2621080,17328,1697495,338563,17331,22
17527,2621632,17429,1307066,0,17432,23
17627,2621632,17529,1476385,117453,17532,32
17728,2621684,17630,1196906,0,17634,23
17828,2621932,17730,1550022,191090,17733,30
17932,2621932,17831,1293990,0,17834,25
18032,2622232,17944,1242266,0,17958,31
18131,2622232,18042,1461396,102464,18051,24
18231,2622532,18140,1674228,315296,18147,29
18334,2622664,18238,1584461,225529,18258,28
18432,2620908,18342,2229551,870619,18348,34
18532,2620668,18435,2303515,944583,18438,38
18632,2620904,18535,2263770,904838,18537,29
18733,2620708,18635,1965052,606120,18637,26
18833,2620956,18735,2077510,718578,18737,32
18933,2620760,18835,2364314,1005382,18839,34
19034,2620812,18936,2266196,907264,18938,34
19134,2621044,19036,2282799,923867,19039,32
19234,2621096,19136,2398696,1039764,19139,34
19334,2620900,19237,2339072,980140,19239,34
19435,2621064,19337,2181623,822691,19340,31
19536,2621216,19438,2185062,826130,19441,35
19636,2621020,19539,2017410,658478,19542,33
19737,2621268,19639,2084057,725125,19643,36
19837,2621268,19739,2090400,731468,19742,33
19937,2621268,19840,2314702,955770,19842,31
20038,2620876,19940,2449180,1090248,19942,36
20140,2621372,20040,1976687,617755,20043,32
20240,2635036,20150,1895011,536079,20161,36
20366,2670092,20247,2153791,794859,20255,49
,,20374,3118088,1759156,20382,33
