"browser","language","benchmark","avg_memory","avg_cpu"
"firefox","cpp","fannkuch_redux",1289233.13043478,22.2487179487179
"chrome","go","mandelbrot",1414095.875,24.75
"chrome","go","mandelbrot",1420893.85714286,20.2571428571429
"chrome","go","mandelbrot",1392848.71428571,21.3142857142857
"chrome","go","mandelbrot",1397026.25,20.4875
"chrome","go","mandelbrot",1699083.125,27.925
"chrome","go","mandelbrot",1371061.625,23.25
"chrome","go","mandelbrot",1376225,44
"chrome","go","mandelbrot",1369020.875,33
"chrome","go","mandelbrot",1358650.125,21.175
"chrome","go","mandelbrot",1371596.33333333,22.6666666666667
"firefox","go","mandelbrot",1457650.16666667,19.5666666666667
"firefox","go","mandelbrot",1779249.83333333,14.9333333333333
"firefox","go","mandelbrot",1752788.5,21.7666666666667
"firefox","go","mandelbrot",1747121.5,20.0666666666667
"firefox","go","mandelbrot",1366532.85714286,20.1428571428571
"firefox","go","mandelbrot",1377306.66666667,16.6666666666667
"firefox","go","mandelbrot",1373720.83333333,16.4333333333333
"firefox","go","mandelbrot",1396693.33333333,12.1
"firefox","go","mandelbrot",1389299,4.56
"firefox","go","mandelbrot",1424327.16666667,11.08
"chrome","rust","n_body",1399836.16666667,16.2666666666667
"chrome","rust","n_body",1407352.5,15.2
"chrome","rust","n_body",1355447.66666667,17.3333333333333
"chrome","rust","n_body",1367487.33333333,16.2666666666667
"chrome","rust","n_body",1379147.5,11.0666666666667
"chrome","rust","n_body",1385383.66666667,10.9166666666667
"chrome","rust","n_body",1330777.66666667,16.8666666666667
"chrome","rust","n_body",1364034,16
"chrome","rust","n_body",1353989.71428571,13.2142857142857
"chrome","rust","n_body",1352461.57142857,15.9285714285714
"firefox","rust","n_body",1448352.33333333,12.35
"firefox","rust","n_body",1437798.33333333,13.7666666666667
"firefox","rust","n_body",1432639.5,17.6333333333333
"firefox","rust","n_body",1440249.5,10.8166666666667
"firefox","rust","n_body",1732974.83333333,14.1333333333333
"firefox","rust","n_body",1364481.83333333,10.95
"firefox","rust","n_body",1360901.66666667,16.4333333333333
"firefox","rust","n_body",1373013.16666667,16.8333333333333
"firefox","rust","n_body",1375415,15.7333333333333
"firefox","rust","n_body",1401378.85714286,18.6428571428571
"chrome","c","n_body",1321661.29032258,28.7935483870968
"chrome","c","n_body",1321648.24242424,27.0275862068966
"chrome","c","n_body",1341070.74193548,29.7225806451613
"chrome","c","n_body",1344924.24242424,30.351724137931
"chrome","c","n_body",1383512.52941176,31.9615384615385
"chrome","c","n_body",1367295.75862069,29.0454545454545
"chrome","c","n_body",1353531.16666667,33.2941176470588
"chrome","c","n_body",1354691.48484848,34
"chrome","c","n_body",1379196.19047619,39.0571428571429
"chrome","c","n_body",1387712.46875,33.1739130434783
"firefox","c","n_body",1352928.08333333,23.9583333333333
"firefox","c","n_body",1357276.16666667,24.0416666666667
"firefox","c","n_body",1361558.16666667,23.5
"firefox","c","n_body",1363040,29.6666666666667
"firefox","c","n_body",1372902.5,22.9333333333333
"firefox","c","n_body",1380409.23076923,38.5714285714286
"firefox","c","n_body",1420104.38461538,24.2083333333333
"firefox","c","n_body",1380917.91666667,37.625
"firefox","c","n_body",1380770.90909091,34.4
"firefox","c","n_body",1383545.08333333,37.625
"chrome","cpp","spectral_norm",1332543.76923077,27.5846153846154
"chrome","cpp","spectral_norm",1346483.08333333,28.0583333333333
"chrome","cpp","spectral_norm",1341879.36,25.66
"chrome","cpp","spectral_norm",1339829,26.136
"chrome","cpp","spectral_norm",1356235.25925926,33.0588235294118
"chrome","cpp","spectral_norm",1371230.76923077,25.1363636363636
"chrome","cpp","spectral_norm",1393446.88,31.7368421052632
"chrome","cpp","spectral_norm",1341879.88,30.552380952381
"chrome","cpp","spectral_norm",1354547.20833333,36.5
"chrome","cpp","spectral_norm",1370624.45833333,37.5714285714286
"firefox","cpp","spectral_norm",1366624.68421053,30.1647058823529
"firefox","cpp","spectral_norm",1366360.22222222,30.1764705882353
"firefox","cpp","spectral_norm",1375963.4,27.55
"firefox","cpp","spectral_norm",1383958.84210526,28.0263157894737
"firefox","cpp","spectral_norm",1394397.85,27.4666666666667
"firefox","cpp","spectral_norm",1425686.45,38
"firefox","cpp","spectral_norm",1377978.36842105,28.6388888888889
"firefox","cpp","spectral_norm",1376384,38.8
"firefox","cpp","spectral_norm",1388769.78947368,38.3333333333333
"firefox","cpp","spectral_norm",1386137.52631579,37
"chrome","go","binary_trees",1478708.2,28.5057142857143
"chrome","go","binary_trees",1438374.3,31.7294117647059
"chrome","go","binary_trees",1515472.13636364,36.1428571428571
"chrome","go","binary_trees",1524289.37142857,36.0869565217391
"chrome","go","binary_trees",1507344,32.9411764705882
"chrome","go","binary_trees",1436311.46153846,34.3885714285714
"chrome","go","binary_trees",1517036.125,27.6842105263158
"chrome","go","binary_trees",1496385.73684211,36.5666666666667
"chrome","go","binary_trees",1606111.67567568,45.1666666666667
"chrome","go","binary_trees",1513905.35135135,32.3636363636364
"firefox","go","binary_trees",1400617.33333333,30.5652173913043
"firefox","go","binary_trees",1396154.55555556,36.6666666666667
"firefox","go","binary_trees",1419421.03333333,32.2095238095238
"firefox","go","binary_trees",1477103.73076923,30.25
"firefox","go","binary_trees",1499705.82758621,34.28
"firefox","go","binary_trees",1455701.2962963,40.5263157894737
"firefox","go","binary_trees",1420845.17589577,13.0305602716469
"firefox","go","binary_trees",1512253.67567568,14.5736842105263
"firefox","go","binary_trees",1422249.64864865,29.5407407407407
"firefox","go","binary_trees",1454207.97368421,31.6818181818182
"chrome","rust","fasta",1306120,14.2
"chrome","rust","fasta",1316487.33333333,12.6666666666667
"chrome","rust","fasta",1316392.33333333,4.76666666666667
"chrome","rust","fasta",1325059,15.6666666666667
"chrome","rust","fasta",1332598,5.4
"chrome","rust","fasta",1324424.33333333,19
"chrome","rust","fasta",1339447.33333333,15.6
"chrome","rust","fasta",1347061.66666667,6.2
"chrome","rust","fasta",1342951.33333333,NA
"chrome","rust","fasta",1372400.33333333,13
"firefox","rust","fasta",1380458.66666667,5.53333333333333
"firefox","rust","fasta",1353921.66666667,3.7
"firefox","rust","fasta",1343906.33333333,NA
"firefox","rust","fasta",1373808,11.7333333333333
"firefox","rust","fasta",1369797,3.96666666666667
"firefox","rust","fasta",1374290.66666667,4.5
"firefox","rust","fasta",1400055,36
"firefox","rust","fasta",1442874.66666667,38
"firefox","rust","fasta",1401949.66666667,36
"firefox","rust","fasta",1376937,4.5
"chrome","c","fasta",1410392.91666667,42.2571428571429
"chrome","c","fasta",1416220.20833333,45
"chrome","c","fasta",1418298.26086957,43.2235294117647
"chrome","c","fasta",1424532.16666667,55.5454545454545
"chrome","c","fasta",1439225.83333333,54.9
"chrome","c","fasta",1442150.625,39.0666666666667
"chrome","c","fasta",1446891.79166667,58.625
"chrome","c","fasta",1430304.95833333,39.64
"chrome","c","fasta",1387080.86956522,46.2941176470588
"chrome","c","fasta",1400414.16666667,58.7142857142857
"firefox","c","fasta",1422511.44919786,16.2732620320856
"firefox","c","fasta",1467739.95833333,21.7862068965517
"firefox","c","fasta",1461123.24199288,14.5555555555556
"firefox","c","fasta",1498644.11764706,27.3636363636364
"firefox","c","fasta",1485672.8,18.4383561643836
"firefox","c","fasta",1506958.48333333,24.0536585365854
"firefox","c","fasta",1503193.04132231,17.3785046728972
"firefox","c","fasta",1514204.01005025,15.4402173913043
"firefox","c","fasta",1458842.70491803,25.4666666666667
"firefox","c","fasta",1458152.4516129,33.8947368421053
"chrome","cpp","mandelbrot",1395307.46153846,27.7
"chrome","cpp","mandelbrot",1403977.73076923,27.6692307692308
"chrome","cpp","mandelbrot",1397335.04,27.7428571428571
"chrome","cpp","mandelbrot",1393094.38461538,27.0192307692308
"chrome","cpp","mandelbrot",1414041.51851852,27.1263157894737
"chrome","cpp","mandelbrot",1416873.2962963,34.6666666666667
"chrome","cpp","mandelbrot",1426232.46153846,28.1809523809524
"chrome","cpp","mandelbrot",1443055.42307692,35.1388888888889
"chrome","cpp","mandelbrot",1374461.11538462,23.8625
"chrome","cpp","mandelbrot",1369299.92307692,32.4545454545455
"firefox","cpp","mandelbrot",1400956.28571429,19.9714285714286
"firefox","cpp","mandelbrot",1415066.42857143,20.2571428571429
"firefox","cpp","mandelbrot",1379085,18.7142857142857
"firefox","cpp","mandelbrot",1405010.85714286,19.4857142857143
"firefox","cpp","mandelbrot",1406983.71428571,19.0285714285714
"firefox","cpp","mandelbrot",1425514.57142857,23.4
"firefox","cpp","mandelbrot",1462135.28571429,10.32
"firefox","cpp","mandelbrot",1467130,3.74
"firefox","cpp","mandelbrot",1370982.28571429,15.5
"firefox","cpp","mandelbrot",1386598,38.3333333333333
"chrome","go","n_body",1409764.38461538,28.8615384615385
"chrome","go","n_body",1394267.33333333,25.6416666666667
"chrome","go","n_body",1393226.66666667,29.6363636363636
"chrome","go","n_body",1411891.25,25.8583333333333
"chrome","go","n_body",1406166.46153846,42
"chrome","go","n_body",1398915.46153846,27.5076923076923
"chrome","go","n_body",1438155.61538462,46.5555555555556
"chrome","go","n_body",1437841.76923077,39.7777777777778
"chrome","go","n_body",1459934.16666667,49.7142857142857
"chrome","go","n_body",1448940.16666667,15.125
"firefox","go","n_body",1403785.2,25.3
"firefox","go","n_body",1409859.3,48.5
"firefox","go","n_body",1391901.5,28.44
"firefox","go","n_body",1408764.4,28.9
"firefox","go","n_body",1394488.54545455,13.7727272727273
"firefox","go","n_body",1428819.90909091,47.8571428571429
"firefox","go","n_body",1477672.5,25.64
"firefox","go","n_body",1475782.9,27.2666666666667
"firefox","go","n_body",1403552.45454545,36.3333333333333
"firefox","go","n_body",1398238,NA
"chrome","rust","fannkuch_redux",1231036.41176471,36.8571428571429
"chrome","rust","fannkuch_redux",1234020.5,38.8
"chrome","rust","fannkuch_redux",1235609.86666667,50
"chrome","rust","fannkuch_redux",1261350.13333333,40.8888888888889
"chrome","rust","fannkuch_redux",1283480.25,32
"chrome","rust","fannkuch_redux",1288083.63157895,52.3333333333333
"chrome","rust","fannkuch_redux",1277259.5625,8.97777777777778
"chrome","rust","fannkuch_redux",1274643.11111111,13.1166666666667
"chrome","rust","fannkuch_redux",1263627,7.45
"chrome","rust","fannkuch_redux",1271244.47058824,16.8176470588235
"firefox","rust","fannkuch_redux",1254866.14285714,15
"firefox","rust","fannkuch_redux",1244424.42857143,NA
"firefox","rust","fannkuch_redux",1259512.85714286,41
"firefox","rust","fannkuch_redux",1309840.71428571,39.2857142857143
