"browser","language","benchmark","avg_energy"
"firefox","rust","n_body",11.6936973685
"firefox","rust","n_body",11.596683003
"firefox","rust","n_body",11.381759611
"firefox","rust","n_body",12.963063938
"chrome","c","n_body",59.6914500485
"chrome","c","n_body",45.731715517
"chrome","c","n_body",58.7112871005
"chrome","c","n_body",53.272457347
"chrome","c","n_body",56.7076675255
"chrome","c","n_body",54.2464503795
"chrome","c","n_body",52.687826481
"chrome","c","n_body",54.941906417
"chrome","c","n_body",53.222359885
"chrome","c","n_body",57.6927484345
"firefox","c","n_body",25.752769365
"firefox","c","n_body",25.698594028
"firefox","c","n_body",26.0773858725
"firefox","c","n_body",24.8941655065
"firefox","c","n_body",25.5891327955
"firefox","c","n_body",28.8290804535
"firefox","c","n_body",23.053700773
"firefox","c","n_body",27.3180955855
"firefox","c","n_body",26.0312201685
"firefox","c","n_body",26.562680012
"chrome","cpp","spectral_norm",42.6794378175
"chrome","cpp","spectral_norm",34.4670713985
"chrome","cpp","spectral_norm",39.9670436205
"chrome","cpp","spectral_norm",44.33364383
"chrome","cpp","spectral_norm",44.8198214925
"chrome","cpp","spectral_norm",37.040218603
"chrome","cpp","spectral_norm",45.651891335
"chrome","cpp","spectral_norm",44.9514974535
"chrome","cpp","spectral_norm",38.2411770305
"chrome","cpp","spectral_norm",44.6058561535
"firefox","cpp","spectral_norm",46.3721780995
"firefox","cpp","spectral_norm",42.7326422285
"firefox","cpp","spectral_norm",42.395783151
"firefox","cpp","spectral_norm",42.404344166
"firefox","cpp","spectral_norm",44.019785402
"firefox","cpp","spectral_norm",42.237975227
"firefox","cpp","spectral_norm",43.193253726
"firefox","cpp","spectral_norm",40.62411408
"firefox","cpp","spectral_norm",41.7216088545
"firefox","cpp","spectral_norm",38.541978341
"chrome","go","binary_trees",61.3148908515
"chrome","go","binary_trees",65.9766445185
"chrome","go","binary_trees",66.350767772
"chrome","go","binary_trees",64.7404253565
"chrome","go","binary_trees",67.395907823
"chrome","go","binary_trees",66.154141723
"chrome","go","binary_trees",69.5331931475
"chrome","go","binary_trees",72.7250856215
"chrome","go","binary_trees",66.4087187875
"chrome","go","binary_trees",65.355006803
"firefox","go","binary_trees",60.654745537
"firefox","go","binary_trees",60.6170936825
"firefox","go","binary_trees",63.321296588
"firefox","go","binary_trees",56.8888007835
"firefox","go","binary_trees",58.3402621735
"firefox","go","binary_trees",64.2234663795
"firefox","go","binary_trees",64.0172168205
"firefox","go","binary_trees",56.6706327785
"firefox","go","binary_trees",109.475384043
"firefox","go","binary_trees",69.941801523
"chrome","rust","fasta",5.2138329645
"chrome","rust","fasta",2.6422849485
"chrome","rust","fasta",2.492794129
"chrome","rust","fasta",2.626731471
"chrome","rust","fasta",3.047866357
"chrome","rust","fasta",2.552303778
"chrome","rust","fasta",2.7378929295
"chrome","rust","fasta",2.9331548105
"chrome","rust","fasta",1.950308782
"chrome","rust","fasta",3.104990514
"firefox","rust","fasta",5.191105663
"firefox","rust","fasta",3.8140128875
"firefox","rust","fasta",3.898489027
"firefox","rust","fasta",4.1274672825
"firefox","rust","fasta",3.894019629
"firefox","rust","fasta",3.9621079905
"firefox","rust","fasta",3.770865272
"firefox","rust","fasta",3.577847302
"firefox","rust","fasta",4.4838940245
"firefox","rust","fasta",3.4588638265
"chrome","c","fasta",79.6387143835
"chrome","c","fasta",82.9710042375
"chrome","c","fasta",82.04598331
"chrome","c","fasta",84.40333548
"chrome","c","fasta",72.1318660835
"chrome","c","fasta",72.1651719205
"chrome","c","fasta",69.155347822
"chrome","c","fasta",28.0871175275
"chrome","c","fasta",10.6036404165
"chrome","c","fasta",77.885959732
"firefox","c","fasta",132.7665377055
"firefox","c","fasta",136.3121951395
"firefox","c","fasta",127.16366886
"firefox","c","fasta",128.227216323
"firefox","c","fasta",135.382561706
"firefox","c","fasta",97.690369282
"firefox","c","fasta",90.647340572
"firefox","c","fasta",66.9745996005
"firefox","c","fasta",95.654641697
"firefox","c","fasta",92.496101172
"chrome","cpp","mandelbrot",48.7524549855
"chrome","cpp","mandelbrot",41.114366558
"chrome","cpp","mandelbrot",36.170774182
"chrome","cpp","mandelbrot",43.6952926365
"chrome","cpp","mandelbrot",44.0786178145
"chrome","cpp","mandelbrot",38.3133006805
"chrome","cpp","mandelbrot",38.533704991
"chrome","cpp","mandelbrot",48.6858989415
"chrome","cpp","mandelbrot",36.379036437
"chrome","cpp","mandelbrot",62.4682291345
"firefox","cpp","mandelbrot",16.7207342895
"firefox","cpp","mandelbrot",14.7324862605
"firefox","cpp","mandelbrot",14.477111158
"firefox","cpp","mandelbrot",14.164674529
"firefox","cpp","mandelbrot",12.236046401
"firefox","cpp","mandelbrot",14.316295168
"firefox","cpp","mandelbrot",13.947025498
"firefox","cpp","mandelbrot",13.959974181
"firefox","cpp","mandelbrot",11.7923528955
"firefox","cpp","mandelbrot",13.927728831
"chrome","go","n_body",23.495062769
"chrome","go","n_body",24.608328415
"chrome","go","n_body",26.193878243
"chrome","go","n_body",22.2869094105
"chrome","go","n_body",22.267121373
"chrome","go","n_body",25.134059134
"chrome","go","n_body",22.7203084695
"chrome","go","n_body",21.6013532535
"chrome","go","n_body",68.9614389395
"chrome","go","n_body",23.704545648
"firefox","go","n_body",26.7283173445
"firefox","go","n_body",23.5073014895
"firefox","go","n_body",24.5045092045
"firefox","go","n_body",25.3310100815
"firefox","go","n_body",26.319297367
"firefox","go","n_body",24.372677105
"firefox","go","n_body",26.0609613485
"firefox","go","n_body",25.37065104
"firefox","go","n_body",24.3524539645
"firefox","go","n_body",24.4281109425
"chrome","rust","fannkuch_redux",26.07329044
"chrome","rust","fannkuch_redux",24.88614305
"chrome","rust","fannkuch_redux",25.268166538
"chrome","rust","fannkuch_redux",27.032280976
"chrome","rust","fannkuch_redux",23.334571844
"chrome","rust","fannkuch_redux",23.5147207465
"chrome","rust","fannkuch_redux",21.8920718885
"chrome","rust","fannkuch_redux",22.9131214355
"chrome","rust","fannkuch_redux",23.647826415
"chrome","rust","fannkuch_redux",26.494598454
"firefox","rust","fannkuch_redux",14.6747650755
"firefox","rust","fannkuch_redux",11.0396187745
"firefox","rust","fannkuch_redux",11.7968886705
"firefox","rust","fannkuch_redux",11.648285642
"firefox","rust","fannkuch_redux",12.951601881
"firefox","rust","fannkuch_redux",12.8955050085
"firefox","rust","fannkuch_redux",12.4353089535
"firefox","rust","fannkuch_redux",14.8504291225
"firefox","rust","fannkuch_redux",13.260675135
"firefox","rust","fannkuch_redux",12.482220961
"chrome","c","binary_trees",2.6232353885
"chrome","c","binary_trees",0.4046218625
"chrome","c","binary_trees",1.1934560325
"chrome","c","binary_trees",0.8643061425
"chrome","c","binary_trees",1.171691607
"chrome","c","binary_trees",0.514951866
"chrome","c","binary_trees",1.9960261455
"chrome","c","binary_trees",1.9578947525
"chrome","c","binary_trees",1.581686283
"chrome","c","binary_trees",1.352298248
"firefox","c","binary_trees",3.226603195
"firefox","c","binary_trees",2.763017938
"firefox","c","binary_trees",3.492786673
"firefox","c","binary_trees",2.1867640865
"firefox","c","binary_trees",2.3979533055
"firefox","c","binary_trees",2.16744625
"firefox","c","binary_trees",2.6082737635
"firefox","c","binary_trees",2.3213602775
"firefox","c","binary_trees",2.258722174
"firefox","c","binary_trees",2.746899356
"chrome","cpp","fasta",4.5467067195
"chrome","cpp","fasta",3.5771667935
"chrome","cpp","fasta",3.567901937
"chrome","cpp","fasta",3.245828279
"chrome","cpp","fasta",3.982677324
"chrome","cpp","fasta",3.838289193
"chrome","cpp","fasta",4.789542286
"chrome","cpp","fasta",1.5312032345
"chrome","cpp","fasta",3.4937333785
