"browser","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"chrome",240,0.405,7.853,23.505,32.103,28.585,54.42,108.849
"firefox",240,2.167,9.048,15.511,31.31,35.349,40.272,197.261
