Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
80,2600580,1,3059519,1540011,4,47
181,2613432,84,2951174,1431666,87,63
281,2631224,184,3589845,2070337,188,47
381,2649072,285,3373154,1853646,289,61
483,2612288,385,4586315,3066807,389,58
582,2615128,486,4011499,2491991,489,54
684,2622460,585,3128056,1608548,589,34
783,2618804,686,2847508,1328000,689,49
883,2619300,786,2108945,589437,789,24
984,2619796,886,2598437,1078929,888,35
1084,2619848,987,2546330,1026822,990,34
1185,2618312,1087,2501696,982188,1091,37
1285,2618112,1187,2838248,1318740,1190,42
1386,2618512,1289,2365021,845513,1292,32
1486,2618604,1389,2503309,983801,1392,35
1587,2618604,1488,2256763,737255,1491,35
1688,2618852,1589,2238016,718508,1592,30
1787,2618636,1691,1450772,0,1694,26
1890,2618884,1790,1828825,309317,1792,32
1990,2619372,1899,2200871,681363,1906,35
2091,2619424,2000,2455763,936255,2007,38
2189,2621792,2100,2821644,1302136,2107,39
2290,2626088,2193,2405497,885989,2196,38
2390,2628072,2293,2771187,1251679,2296,35
2491,2641992,2393,1835635,316127,2396,32
2592,2645332,2495,2637071,1117563,2500,45
2692,2671884,2596,3171804,1652296,2600,39
2792,2678312,2695,2953850,1434342,2699,44
2893,2667700,2796,3800041,2280533,2800,60
,,2896,4170068,2650560,,
