datetime,cpu,mem
Wed Oct 26 02:23:20 GMT 2022,4.9,1361524
Wed Oct 26 02:23:21 GMT 2022,-22,1360501
Wed Oct 26 02:23:23 GMT 2022,-22,1366266
Wed Oct 26 02:23:24 GMT 2022,-22,1366201
Wed Oct 26 02:23:25 GMT 2022,-22,1368608
Wed Oct 26 02:23:26 GMT 2022,-22,1352361
Wed Oct 26 02:23:28 GMT 2022,40,1353987
Wed Oct 26 02:23:29 GMT 2022,40,1348041
Wed Oct 26 02:23:30 GMT 2022,40,1348693
Wed Oct 26 02:23:32 GMT 2022,40,1321537
Wed Oct 26 02:23:33 GMT 2022,40,1324176
Wed Oct 26 02:23:34 GMT 2022,40,1324136
Wed Oct 26 02:23:36 GMT 2022,40,1322548
Wed Oct 26 02:23:37 GMT 2022,29,1321044
Wed Oct 26 02:23:39 GMT 2022,29,1321140
Wed Oct 26 02:23:40 GMT 2022,29,1321136
Wed Oct 26 02:23:41 GMT 2022,29,1322952
Wed Oct 26 02:23:43 GMT 2022,29,1321624
Wed Oct 26 02:23:44 GMT 2022,29,1321656
Wed Oct 26 02:23:46 GMT 2022,29,1321586
Wed Oct 26 02:23:47 GMT 2022,29,1322994
Wed Oct 26 02:23:49 GMT 2022,78,1321678
Wed Oct 26 02:23:50 GMT 2022,78,1321766
Wed Oct 26 02:23:52 GMT 2022,78,1321654
Wed Oct 26 02:23:53 GMT 2022,78,1323348
Wed Oct 26 02:23:55 GMT 2022,0,1321968
Wed Oct 26 02:23:56 GMT 2022,0,1322056
Wed Oct 26 02:23:58 GMT 2022,0,1321956
Wed Oct 26 02:23:59 GMT 2022,0,1323520
Wed Oct 26 02:24:01 GMT 2022,32,1322324
Wed Oct 26 02:24:03 GMT 2022,32,1322280
Wed Oct 26 02:24:04 GMT 2022,32,1322468
Wed Oct 26 02:24:06 GMT 2022,32,1324024
Wed Oct 26 02:24:07 GMT 2022,31,1322604
Wed Oct 26 02:24:09 GMT 2022,31,1322752
Wed Oct 26 02:24:10 GMT 2022,31,1322596
Wed Oct 26 02:24:12 GMT 2022,31,1324396
Wed Oct 26 02:24:14 GMT 2022,32,1322832
Wed Oct 26 02:24:15 GMT 2022,32,1321519
Wed Oct 26 02:24:16 GMT 2022,32,1318684
Wed Oct 26 02:24:18 GMT 2022,32,1320140
Wed Oct 26 02:24:20 GMT 2022,36,1318532
Wed Oct 26 02:24:21 GMT 2022,36,1316476
Wed Oct 26 02:24:23 GMT 2022,36,1316908
Wed Oct 26 02:24:25 GMT 2022,36,1324382
