Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
27,2524096,30,4507692,3273194,34,61
128,2532128,133,4686650,3452152,137,73
179,2536688,182,5421264,4186766,185,68
280,2548788,282,4108049,2873551,285,37
380,2552720,382,2780179,1545681,385,41
480,2558424,482,2563902,1329404,485,38
580,2563384,583,2500546,1266048,585,35
681,2568460,683,2500546,1266048,686,38
781,2573760,783,2611829,1377331,786,37
882,2578720,884,2622437,1387939,887,38
982,2584920,984,2360876,1126378,987,36
1082,2590624,1084,2579417,1344919,1087,37
1183,2593104,1185,2450355,1215857,1187,36
1283,2499716,1286,1887650,653152,1288,28
1384,2499520,1386,1468963,234465,1389,25
1484,2499820,1487,1328020,93522,1490,26
1584,2499820,1587,1208246,0,1591,24
1685,2499872,1687,1255226,20728,1690,28
1785,2499944,1788,1177466,0,1791,21
1889,2499944,1901,1243886,9388,1912,28
1990,2499748,2002,1282766,48268,2015,32
2090,2499996,2102,1353234,118736,2112,30
2190,2499800,2199,1401083,166585,2209,26
2291,2499800,2302,1240363,5865,2312,24
2391,2500048,2400,1500774,266276,2408,29
2492,2500296,2501,1322991,88493,2511,25
2593,2500348,2605,1319639,85141,2615,29
2693,2500124,2704,1349950,115452,2715,28
2793,2500924,2800,1967042,732544,2806,27
2894,2500576,2903,1899727,665229,2911,29
2994,2500876,3002,2014448,779950,3014,31
3095,2499432,3105,1977129,742631,3113,25
3195,2499484,3202,1634433,399935,3210,22
3296,2503512,3303,1928407,693909,3311,25
3396,2503512,3403,1756325,521827,3410,24
3495,2504008,3498,1935577,701079,3500,28
3596,2503864,3605,1476691,242193,3614,27
3697,2503912,3706,1863876,629378,3714,25
3797,2503828,3805,1361970,127472,3812,16
3900,2504076,3908,1483861,249363,3915,22
4000,2504076,4008,2136340,901842,4015,30
4099,2504108,4102,2989581,1755083,4106,52
4199,2507076,4203,3285524,2051026,4206,52
