"browser","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"chrome",240,1202965.281,1338164.268,1384448.098,1381766.121,77772.566,1416528.77,1699083.125
"firefox",240,1207629.933,1366601.727,1403242.396,1404862.285,89131.685,1437152.036,1779249.833
