datetime,cpu,mem
Thu Oct 27 11:07:24 GMT 2022,53,1680431
Thu Oct 27 11:07:26 GMT 2022,53,1565599
Thu Oct 27 11:07:27 GMT 2022,53,1607445
Thu Oct 27 11:07:29 GMT 2022,53,1611486
Thu Oct 27 11:07:30 GMT 2022,42,1610119
Thu Oct 27 11:07:31 GMT 2022,42,1601135
Thu Oct 27 11:07:33 GMT 2022,42,1602178
