"language","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"c",120,2176.915,4414.585,15866.404,37030.577,58866.133,40193.305,438973.197
"cpp",120,3536.994,6160.555,29500.775,55719.859,92793.817,52037.364,585936.997
"go",120,6883.276,9019.369,13719.726,33399.771,46764.57,40237.559,187317.838
"rust",120,2748.214,3346.335,5374.413,6522.859,4716.275,7662.723,23276.611
