"language_browser","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"c  and  chrome",60,1247835.4,1340355.146,1362687.187,1371076.952,68124.468,1403570.083,1626212.667
"c  and  firefox",60,1207629.933,1355901.312,1381295.333,1398906.872,90292.272,1445606.988,1627769
"cpp  and  chrome",60,1221452.652,1338007.692,1381933.939,1380628.57,79472.223,1418717.438,1627892.5
"cpp  and  firefox",60,1244153.102,1372161.237,1403572.433,1401416.46,74494.928,1429979.292,1626017
"go  and  chrome",60,1202965.281,1375067.833,1412993.562,1412703.995,79774.502,1446631.988,1699083.125
"go  and  firefox",60,1248562.315,1393841.784,1423159.181,1422667.735,101801.847,1453537.279,1779249.833
"rust  and  chrome",60,1231036.412,1317506.583,1359740.833,1362654.968,75622.624,1400920.875,1625055.286
"rust  and  firefox",60,1244424.429,1359156.667,1394988.375,1396458.071,87599.095,1425467.833,1732974.833
