"language","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"c",120,0.405,5.17,25.078,36.007,34.657,57.947,136.312
"cpp",120,1.531,9.721,40.391,44.623,39.244,70.891,197.261
"go",120,13.394,17.616,24.466,37.146,25.175,57.477,119.015
"rust",120,1.881,3.6,6.544,9.05,6.48,13.166,27.032
