datetime,cpu,mem
Wed Oct 26 15:31:49 GMT 2022,42,1325117
Wed Oct 26 15:31:51 GMT 2022,5.3,1324266
Wed Oct 26 15:31:52 GMT 2022,5.3,1330583
Wed Oct 26 15:31:53 GMT 2022,5.3,1331251
Wed Oct 26 15:31:55 GMT 2022,5.3,1336626
Wed Oct 26 15:31:56 GMT 2022,38,1336823
