Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
12142,2362492,12152,2471890,1070842,12161,51
12243,2362492,12253,2540875,1139827,12262,45
12343,2362740,12353,2318397,917349,12362,43
12444,2362544,12453,2436802,1035754,12463,46
12545,2362348,12555,2340814,939766,12564,41
12645,2362596,12655,1751506,350458,12661,43
12745,2362844,12755,2776864,1375816,12762,45
12847,2362964,12857,2600589,1199541,12863,44
12946,2363336,12949,3030105,1629057,12953,47
13046,2363180,13050,2714700,1313652,13053,42
13147,2363676,13150,2170745,769697,13154,41
13248,2365712,13251,2285150,884102,13254,48
13348,2367200,13351,2443139,1042091,13354,44
13449,2367200,13452,3255915,1854867,13455,53
13549,2367200,13552,2913524,1512476,13555,47
13650,2368440,13653,2851977,1450929,13656,41
13750,2370672,13753,2693388,1292340,13756,51
13850,2371044,13854,2150838,749790,13856,46
13952,2371540,13960,2553296,1152248,13967,53
14051,2371472,14054,1571390,170342,14057,43
14152,2371596,14155,2762510,1361462,14158,46
14252,2371844,14255,2656253,1255205,14259,47
14353,2371844,14356,2272340,871292,14360,46
14454,2371844,14457,1839950,438902,14461,47
14555,2371648,14568,3743897,2342849,14573,58
14654,2371648,14657,3239399,1838351,14660,60
14755,2371896,14765,3564660,2163612,14784,56
14856,2370640,14864,3064912,1663864,14871,46
14956,2370624,14965,2950240,1549192,14972,43
15056,2370768,15065,2483286,1082238,15073,44
15158,2370768,15168,2550836,1149788,15173,46
15257,2367828,15262,2976215,1575167,15269,48
15358,2368076,15367,2093113,692065,15375,48
15459,2368572,15467,2841324,1440276,15473,46
15559,2368572,15568,2558785,1157737,15573,46
15659,2368820,15664,2561084,1160036,15669,46
15762,2369316,15773,2398862,997814,15782,46
15861,2369564,15869,2707329,1306281,15874,46
15962,2369924,15970,2230752,829704,15978,45
16062,2370048,16074,1439503,38455,16084,46
16163,2370048,16173,2997564,1596516,16181,45
16263,2371040,16273,2600925,1199877,16282,45
16364,2371092,16373,3233191,1832143,16382,50
16463,2371340,16466,2362421,961373,16470,44
16563,2371836,16566,2258381,857333,16570,45
16664,2372528,16667,2247980,846932,16670,49
16766,2372528,16777,2656599,1255551,16787,49
16865,2372528,16868,2720684,1319636,16876,44
16966,2373024,16969,1938481,537433,16972,43
17068,2373396,17074,2382352,981304,17078,46
17169,2373252,17179,2144749,743701,17190,53
17269,2373160,17279,2875612,1474564,17285,46
17368,2372336,17371,2551027,1149979,17374,51
17469,2372336,17475,2641190,1240142,17483,46
17571,2372140,17582,1798783,397735,17593,46
17672,2372140,17683,3004479,1603431,17691,48
17772,2371944,17782,1609983,208935,17792,45
17874,2371872,17885,3112642,1711594,17896,46
17974,2372156,17984,2617841,1216793,17992,45
18074,2372232,18077,2984559,1583511,18080,39
18124,2372480,18127,2502609,1101561,18130,39
18225,2372480,18229,2268819,867771,18233,50
18325,2372480,18328,2482180,1081132,18331,46
18427,2372408,18437,2602197,1201149,18447,49
18527,2372408,18537,2708959,1307911,18546,51
18628,2372708,18637,2980146,1579098,18648,50
18729,2372708,18738,2458972,1057924,18747,45
18829,2372564,18839,2853700,1452652,18849,48
18931,2373076,18941,2111099,710051,18954,49
19031,2373028,19043,2166666,765618,19056,50
19132,2373028,19144,1672735,271687,19158,51
19232,2373028,19244,1902863,501815,19257,47
19333,2373028,19348,1712729,311681,19361,57
19433,2373276,19446,1574568,173520,19459,50
19535,2373328,19548,2250990,849942,19562,52
19636,2373576,19651,2000786,599738,19665,53
19737,2373824,19753,1515241,114193,19768,48
19836,2373824,19848,2073237,672189,19860,49
19938,2373628,19952,1932870,531822,19968,55
20037,2372472,20047,2247182,846134,20056,52
20138,2372472,20148,2518375,1117327,20159,46
20239,2372964,20251,1820521,419473,20261,52
20339,2372768,20351,2192717,791669,20362,50
20441,2373016,20451,2069086,668038,20462,52
20541,2373016,20552,2263023,861975,20564,47
20642,2373016,20654,2051958,650910,20664,48
