"language_browser","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"c  and  chrome",60,2176.915,4363.465,29866.952,41490.483,64510.261,48638.832,438973.197
"c  and  firefox",60,2629.11,4472.58,13026.231,32570.671,52793.429,23982.973,186976.008
"cpp  and  chrome",60,3590.206,6329.2,32486.838,41539.046,40324.044,52037.364,187213.174
"cpp  and  firefox",60,3536.994,5961.698,15100.155,69900.672,123823.635,51142.606,585936.997
"go  and  chrome",60,8761.511,9467.435,21509.524,29382.962,27850.042,46220.32,186982.837
"go  and  firefox",60,6883.276,7792.543,10482.479,37416.579,60020.623,29843.814,187317.838
"rust  and  chrome",60,2748.214,3340.288,5302.194,7534.562,6185.501,7719.845,23276.611
"rust  and  firefox",60,2994.005,3360.498,5374.413,5511.156,2126.335,7496.628,8574.079
