Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],CPU Load [%]
19,2543168,23,4594366,3008301,27,74
120,2557376,122,5671175,4085110,125,91
221,2568460,223,6023804,4437739,226,76
322,2541668,326,4491134,2905069,330,64
423,2548276,431,3591527,2005462,435,52
522,2554340,526,3777155,2191090,534,81
623,2556044,627,5832976,4246911,631,82
725,2559568,730,5705002,4118937,733,68
824,2551296,828,4038950,2452885,831,60
924,2541976,928,4881997,3295932,931,46
1025,2547624,1028,3075448,1489383,1031,43
1126,2551416,1129,2547592,961527,1132,37
1226,2557088,1229,2840304,1254239,1232,39
1327,2561312,1330,2442027,855962,1333,41
1377,2562992,1380,2247534,661469,1383,37
1478,2564912,1481,1676504,90439,1483,37
1578,2567840,1581,1791379,205314,1583,33
1678,2571948,1682,1845141,259076,1685,30
1779,2573364,1782,2637503,1051438,1785,34
1879,2574392,1882,1778955,192890,1886,32
1980,2575392,1983,1365820,0,1986,30
2081,2576344,2084,830554,0,2087,33
2181,2577132,2185,1574025,0,2189,27
2282,2578408,2286,1588594,2529,2289,35
2382,2581900,2385,2109453,523388,2388,36
2483,2582120,2486,2384355,798290,2489,31
2583,2583432,2586,2134871,548806,2589,33
2683,2584288,2686,2235252,649187,2689,36
2784,2584932,2787,2640129,1054064,2789,34
2885,2585684,2888,2181623,595558,2891,30
2985,2586924,2988,1680570,94505,2991,31
3085,2587316,3088,2014700,428635,3091,34
3186,2589012,3189,1954855,368790,3193,34
3286,2589440,3289,1740414,154349,3292,30
3387,2590752,3390,1981780,395715,3393,32
3487,2595260,3490,1710762,124697,3493,39
3588,2596292,3591,1704437,118372,3594,34
3689,2598188,3692,1567413,0,3695,33
3789,2599928,3793,1953500,367435,3796,35
3891,2595692,3895,1892301,306236,3899,40
3990,2597576,3993,2079531,493466,3996,32
4091,2598404,4094,3245942,1659877,4097,57
4191,2601512,4194,3563689,1977624,4198,57
4292,2608188,4295,4297541,2711476,4299,67
4392,2611836,4398,5623247,4037182,4402,87
4494,2623276,4498,5882372,4296307,4503,88
4595,2616948,4601,5790715,4204650,4604,78
4695,2613920,4703,4162936,2576871,4709,52
4795,2609700,4798,4163747,2577682,4801,52
4895,2613952,4898,3060314,1474249,4900,43
4995,2618628,5002,3366365,1780300,5008,57
5097,2621096,5105,4166010,2579945,5108,60
5196,2619296,5200,3966128,2380063,5203,56
5297,2620640,5300,3281912,1695847,5303,42
5397,2621476,5400,2389556,803491,5403,35
5497,2624820,5500,3079561,1493496,5504,47
5598,2631708,5601,3226020,1639955,5604,48
5698,2627076,5700,2819969,1233904,5703,40
5799,2628324,,,,,
