datetime,cpu,mem
Wed Oct 26 18:55:28 GMT 2022,38,1373797
Wed Oct 26 18:55:30 GMT 2022,5.1,1309031
Wed Oct 26 18:55:31 GMT 2022,5.1,1383396
Wed Oct 26 18:55:32 GMT 2022,5.1,1380561
Wed Oct 26 18:55:33 GMT 2022,5.1,1380581
Wed Oct 26 18:55:35 GMT 2022,5.1,1380996
Wed Oct 26 18:55:36 GMT 2022,40,1370619
Wed Oct 26 18:55:37 GMT 2022,40,1370715
Wed Oct 26 18:55:39 GMT 2022,40,1371084
Wed Oct 26 18:55:40 GMT 2022,40,1387505
Wed Oct 26 18:55:41 GMT 2022,37,1386318
Wed Oct 26 18:55:43 GMT 2022,37,1386410
Wed Oct 26 18:55:44 GMT 2022,37,1385201
Wed Oct 26 18:55:46 GMT 2022,37,1386871
Wed Oct 26 18:55:47 GMT 2022,36,1385442
Wed Oct 26 18:55:49 GMT 2022,36,1385610
Wed Oct 26 18:55:50 GMT 2022,36,1385246
Wed Oct 26 18:55:52 GMT 2022,36,1386919
Wed Oct 26 18:55:53 GMT 2022,0,1385287
