"language_browser","count","Minimum","Q1","Median","Mean","SD","Q3","Maximum"
"c  and  chrome",60,4.7,18.26,29.384,29.439,16.025,39.642,62.962
"c  and  firefox",60,2.7,15.397,22.762,21.743,10.773,25.835,47
"cpp  and  chrome",60,4.833,18.312,28.248,28.323,14.698,35.251,77.25
"cpp  and  firefox",60,3.18,15.062,20.464,21.53,11.69,27.669,59
"go  and  chrome",60,8.6,24.982,28.553,30.575,10.387,35.557,66.42
"go  and  firefox",59,4.56,15.779,23.064,23.874,11.063,29.895,51
"rust  and  chrome",59,3.433,10.15,16,20.315,14.381,27.833,61.571
"rust  and  firefox",58,2.5,6.468,14.024,18.061,14.592,22.068,62.143
