datetime,cpu,mem
Wed Oct 26 19:02:41 GMT 2022,0,1363081
Wed Oct 26 19:02:42 GMT 2022,11,1371749
Wed Oct 26 19:02:44 GMT 2022,11,1381977
Wed Oct 26 19:02:45 GMT 2022,11,1382361
Wed Oct 26 19:02:47 GMT 2022,11,1388420
Wed Oct 26 19:02:48 GMT 2022,40,1382452
Wed Oct 26 19:02:50 GMT 2022,40,1383321
Wed Oct 26 19:02:52 GMT 2022,40,1381538
Wed Oct 26 19:02:53 GMT 2022,40,1362647
Wed Oct 26 19:02:55 GMT 2022,33,1361525
Wed Oct 26 19:02:56 GMT 2022,33,1361577
Wed Oct 26 19:02:58 GMT 2022,33,1361593
Wed Oct 26 19:03:00 GMT 2022,33,1363190
Wed Oct 26 19:03:01 GMT 2022,30,1362045
Wed Oct 26 19:03:03 GMT 2022,30,1362165
Wed Oct 26 19:03:04 GMT 2022,30,1362221
Wed Oct 26 19:03:06 GMT 2022,30,1363714
Wed Oct 26 19:03:08 GMT 2022,30,1362347
Wed Oct 26 19:03:09 GMT 2022,30,1362243
Wed Oct 26 19:03:11 GMT 2022,30,1363896
Wed Oct 26 19:03:13 GMT 2022,0,1362383
Wed Oct 26 19:03:15 GMT 2022,0,1362251
Wed Oct 26 19:03:16 GMT 2022,0,1363844
Wed Oct 26 19:03:18 GMT 2022,31,1362419
Wed Oct 26 19:03:20 GMT 2022,31,1362485
Wed Oct 26 19:03:22 GMT 2022,31,1364222
Wed Oct 26 19:03:24 GMT 2022,0,1362685
Wed Oct 26 19:03:25 GMT 2022,0,1362761
Wed Oct 26 19:03:27 GMT 2022,0,1364465
