datetime,cpu,mem
Wed Oct 26 19:31:28 GMT 2022,0,1343374
Wed Oct 26 19:31:30 GMT 2022,0,1341577
Wed Oct 26 19:31:31 GMT 2022,0,1362849
Wed Oct 26 19:31:32 GMT 2022,0,1362899
Wed Oct 26 19:31:34 GMT 2022,0,1365619
Wed Oct 26 19:31:35 GMT 2022,38,1339315
Wed Oct 26 19:31:37 GMT 2022,38,1339426
Wed Oct 26 19:31:38 GMT 2022,38,1339503
Wed Oct 26 19:31:40 GMT 2022,38,1355602
Wed Oct 26 19:31:41 GMT 2022,38,1354891
Wed Oct 26 19:31:43 GMT 2022,38,1354911
Wed Oct 26 19:31:44 GMT 2022,38,1355025
Wed Oct 26 19:31:46 GMT 2022,38,1356771
Wed Oct 26 19:31:47 GMT 2022,0,1355418
Wed Oct 26 19:31:49 GMT 2022,0,1355454
Wed Oct 26 19:31:51 GMT 2022,0,1355590
Wed Oct 26 19:31:52 GMT 2022,0,1357199
Wed Oct 26 19:31:54 GMT 2022,29,1355636
Wed Oct 26 19:31:55 GMT 2022,29,1355822
Wed Oct 26 19:31:57 GMT 2022,29,1357206
Wed Oct 26 19:31:59 GMT 2022,33,1355853
Wed Oct 26 19:32:00 GMT 2022,33,1356151
Wed Oct 26 19:32:02 GMT 2022,33,1357832
Wed Oct 26 19:32:04 GMT 2022,34,1356374
Wed Oct 26 19:32:06 GMT 2022,34,1356359
Wed Oct 26 19:32:07 GMT 2022,34,1357864
Wed Oct 26 19:32:09 GMT 2022,32,1356471
Wed Oct 26 19:32:11 GMT 2022,32,1356607
Wed Oct 26 19:32:13 GMT 2022,32,1358184
Wed Oct 26 19:32:14 GMT 2022,32,1356755
Wed Oct 26 19:32:16 GMT 2022,32,1356811
Wed Oct 26 19:32:18 GMT 2022,32,1358372
Wed Oct 26 19:32:19 GMT 2022,32,1357099
