datetime,cpu,mem
Sat Oct 29 00:39:46 GMT 2022,38,1300292
Sat Oct 29 00:39:48 GMT 2022,0.9,1199041
Sat Oct 29 00:39:49 GMT 2022,0.9,1263247
Sat Oct 29 00:39:50 GMT 2022,0.9,1263739
Sat Oct 29 00:39:52 GMT 2022,0.9,1265486
Sat Oct 29 00:39:53 GMT 2022,1.8,1256402
Sat Oct 29 00:39:56 GMT 2022,1.8,1256809
